Botanica Plant Ordering Spreadsheet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Size,Nur.,Quantity,Boyd,Carter Road,Michaels,Mcdougald,Mulvehill,,,,,,
Schefflera (Amate),"14""",,,,29.00,35.00,,,,,,,,
Schefflera (Arboricola),"10""",,,,,,4.75,,,,,,,
Schefflera (Arboricola),"12""",,,,,,,,,,,,,
Schefflera (Arboricola),"14""",,,,,,16.00,,,,,,,
Schefflera (Gold Capella),"14""",,,,,,16.00,,,,,,,
Spath,"10""",,,,,,,,,,,,,
Spath,"14""",,,,,,,,,,,,,
Spath Sensation,"10""",,,,,,,,,,,,,
Spath Sensation,"14""",,,,,,,,,,,,,
Succulents,,,,,,,,,,,,,,
White Bird,"10""",,,,,,10.00,,,,,,,
White Bird,"12""",,,,,,25.00,,,,,,,
White Bird,"14""",,,,,,45.00,,,,,,,
Yucca Cane,"10""",,,,,,,,,,,,,
Yucca Cane,"14""",,,,,,,,,,,,,
ZZ,"6""",,,,,,,,,,,,,
ZZ,"8""",,,,,,,,,,,,,
ZZ,"10""",,,,,,,,,,,,,
ZZ,"14""",,,,35.00,,,,,,,,,
